Año,Mes,Aeropuerto2,Nacionalidad,Región,Sexo,Visitantes ,TUA
2019,Enero,Acapulco,Alemania,Europa, Hombre,5,1145.8
2019,Enero,Acapulco,Alemania,Europa, Mujer,1,1145.8
2019,Enero,Acapulco,Argelia,África, Hombre,1,1145.8
2019,Enero,Acapulco,Armenia,Asia, Mujer,1,1145.8
2019,Enero,Acapulco,Australia,Oceanía, Hombre,2,1145.8
2019,Enero,Acapulco,Australia,Oceanía, Mujer,2,1145.8
2019,Enero,Acapulco,Bélgica,Europa, Hombre,1,1145.8
2019,Enero,Acapulco,Brasil,América del Sur, Hombre,3,1145.8
2019,Enero,Acapulco,Brasil,América del Sur, Mujer,2,1145.8
2019,Enero,Acapulco,Bulgaria,Europa, Hombre,1,1145.8
2019,Enero,Acapulco,Canadá,América del Norte, Hombre,1264,1145.8
2019,Enero,Acapulco,Canadá,América del Norte, Mujer,1398,1145.8
2019,Enero,Acapulco,China,Asia, Mujer,1,1145.8
2019,Enero,Acapulco,Colombia,América del Sur, Hombre,1,1145.8
2019,Enero,Acapulco,Cuba,Islas del Caribe, Hombre,2,1145.8
2019,Enero,Acapulco,Dinamarca,Europa, Mujer,1,1145.8
2019,Enero,Acapulco,España,Europa, Mujer,2,1145.8
2019,Enero,Acapulco,Estados Unidos,América del Norte, Hombre,423,1145.8
2019,Enero,Acapulco,Estados Unidos,América del Norte, Mujer,437,1145.8
2019,Enero,Acapulco,Filipinas,Asia, Mujer,1,1145.8
2019,Enero,Acapulco,Francia,Europa, Hombre,3,1145.8
2019,Enero,Acapulco,Francia,Europa, Mujer,3,1145.8
2019,Enero,Acapulco,Guatemala,América Central, Hombre,1,1145.8
2019,Enero,Acapulco,Irán,Asia, Hombre,4,1145.8
2019,Enero,Acapulco,Irán,Asia, Mujer,2,1145.8
2019,Enero,Acapulco,Italia,Europa, Hombre,6,1145.8
2019,Enero,Acapulco,Italia,Europa, Mujer,8,1145.8
2019,Enero,Acapulco,Jordania,Asia, Mujer,1,1145.8
2019,Enero,Acapulco,Kazajistán,Asia, Hombre,1,1145.8
2019,Enero,Acapulco,Kazajistán,Asia, Mujer,1,1145.8
2019,Enero,Acapulco,Marruecos,África, Mujer,2,1145.8
